NAME_1,NAME_2,NAME_3,Surface_Area,Inhabitants,Inhabitants_Density,Average_age,Average_income,Accumulated_purchasing_power,Buildings,Building_Density,Inhabitants_per_Building,Enterprise_Density,Enterprise_Total
Southern Finland,Uusimaa,Helsinki,3169961489,1440972,455.0,39,31021,35011858610,187343,59.1,7.7,215.8,684013
Western Finland,Pirkanmaa,Tampere,2707866088,372423,138.0,41,26767,7724222246,64541,23.8,5.8,57.6,156014
Western Finland,Finland Proper,Turku,2581743032,327793,127.0,42,26356,6946918554,68581,26.6,4.8,52.3,135040
Oulu,Northern Ostrobothnia,Oulu,3449444678,245776,71.0,38,24982,4797294203,54644,15.8,4.5,27.1,93516
Western Finland,Central Finland,Jyväskylä,2040150889,168135,82.0,40,24917,3268523786,34569,16.9,4.9,32.8,66982
Western Finland,Päijänne Tavastia,Lahti,2772879699,153593,55.0,45,24823,3088750214,35672,12.9,4.3,20.5,56769
Eastern Finland,North Savonia,Kuopio,3428325936,129052,38.0,44,24819,2586304750,27274,8,4.7,15.2,52255
Eastern Finland,North Karelia,Joensuu,5872960260,112016,19.0,45,22784,2098908709,35527,6,3.2,7.1,41684
Western Finland,Satakunta,Pori,2154172890,111611,52.0,46,23941,2200066831,39308,18.2,2.8,19.4,41714
Western Finland,Ostrobothnia,Vaasa,2520309428,95929,38.0,43,24493,1928950888,28861,11.5,3.3,17.4,43844
Western Finland,Tavastia Proper,Hämeenlinna,2995037174,91933,31.0,46,24955,1877626555,28444,9.5,3.2,11.1,33352
Southern Finland,Kymenlaakso,Kouvola,3682407054,89339,24.0,48,23739,1772638548,32043,8.7,2.8,8.2,30246
Southern Finland,Uusimaa,Lohja,1920836176,82955,43.0,44,26801,1744937284,27198,14.2,3.1,13,25012
Southern Finland,Kymenlaakso,Kotka-Hamina,2105051488,81602,39.0,47,23796,1600782418,27457,13,3,13.8,29044
Southern Finland,Eastern Uusimaa,Porvoo,1591517448,78625,49.0,44,27752,1763396338,26942,16.9,2.9,15.4,24535
Western Finland,Southern Ostrobothnia,Northern Seinänaapuri,1575229020,72930,46.0,42,24825,1444800165,21563,13.7,3.4,20,31475
Southern Finland,South Karelia,Lappeenranta,1245566749,69144,56.0,44,24101,1338934077,18181,14.6,3.8,24.2,30109
Lapland,Lapland,Rovaniemi,11722903579,66059,6.0,47,22550,1276459769,20578,1.8,3.2,2.1,24701
Eastern Finland,Southern Savonia,Mikkeli,6149856801,65164,11.0,49,23433,1270990434,23830,3.9,2.7,4.1,25292
Western Finland,Finland Proper,Salo,2729118743,59648,22.0,47,24960,1172227528,23421,8.6,2.5,7.1,19460
Western Finland,Satakunta,Rauma,1531939620,56515,37.0,43,24393,1173904284,21005,13.7,2.7,14.8,22634
Lapland,Lapland,Kemi-Tornio,4666961260,55860,12.0,44,22965,1073716270,22683,4.9,2.5,4.4,20479
Western Finland,Central Ostrobothnia,Kokkola,1834860426,54758,30.0,42,23897,1015842069,18441,10.1,3,12,22076
Oulu,Kainuu,Kajaani,9106187613,53749,6.0,47,22457,1032704479,19651,2.2,2.7,2.2,19901
Eastern Finland,North Savonia,Upper Savonia,8068371394,52499,7.0,48,22523,982927171,22983,2.8,2.3,2.3,18231
Western Finland,Ostrobothnia,Jakobstadsregionen,2469514502,49421,20.0,41,24810,928616415,19746,8,2.5,8.5,21100
Western Finland,Tavastia Proper,Riihimäki,1217153732,44019,36.0,45,25210,882974779,14174,11.6,3.1,11.1,13481
Western Finland,Pirkanmaa,Southern Pirkanmaa,1307926669,42072,32.0,47,23452,812580684,15238,11.7,2.8,9.1,11928
Southern Finland,Uusimaa,Ekenäs,1681422759,40852,24.0,46,26662,850354797,18537,11,2.2,8.3,14034
Oulu,Northern Ostrobothnia,Ylivieska,2978671261,40052,13.0,41,24178,733893164,16353,5.5,2.4,5.3,15742
Southern Finland,South Karelia,Imatra,2732635697,39377,14.0,52,22924,774923783,16664,6.1,2.4,4.5,12339
Eastern Finland,North Savonia,Varkaus,4232935956,38963,9.0,50,22623,740578765,16206,3.8,2.4,3.2,13358
Eastern Finland,Southern Savonia,Savonlinna,5335662446,37030,7.0,49,21636,696016933,15346,2.9,2.4,2.4,12860
Western Finland,Finland Proper,Loimaa,2176738098,33165,15.0,45,24356,639031432,16558,7.6,2,5.1,11022
Western Finland,Pirkanmaa,Upper Pirkanmaa,5053775062,33039,7.0,51,23005,633474194,17017,3.4,1.9,2.1,10716
Oulu,Northern Ostrobothnia,Raahe,2628570327,32730,12.0,44,23531,603702012,14041,5.3,2.3,4.7,12451
Western Finland,Tavastia Proper,Forssa,1491913381,32334,22.0,45,22655,625092783,13235,8.9,2.4,7.8,11653
Western Finland,Finland Proper,Vakka-Suomi,1711517401,30690,18.0,48,24935,620917402,13756,8,2.2,8.3,14229
Oulu,Northern Ostrobothnia,Nivala-Haapajärvi,4122505592,27923,7.0,42,21494,478712459,12363,3,2.3,2.2,9152
Western Finland,Southern Ostrobothnia,Härmänmaa,1752938340,27750,16.0,47,23383,519821144,12881,7.3,2.2,5.7,9982
