PostCode,NAME_1,NAME_2,NAME_3,NAME_4,PostCode_Name,Surface_Area,Inhabitants,Inhabitants_Density,Average_age,Average_income,Accumulated_purchasing_power,Buildings,Building_Density,Inhabitants_per_Building,Enterprise_Density,Enterprise_Total
100,Southern Finland,Uusimaa,Helsinki,Helsinki,00100  Helsinki Keskusta - Etu-Töölö (Helsinki),2353278,18334,7791,41,41681,673689606,635,270,29,22061,51915
120,Southern Finland,Uusimaa,Helsinki,Helsinki,00120  Punavuori (Helsinki),414010,7140,17246,41,47266,291108870,248,599,29,18244,7553
130,Southern Finland,Uusimaa,Helsinki,Helsinki,00130  Kaartinkaupunki (Helsinki),428960,1582,3688,41,61933,85096078,144,336,11,28306,12142
140,Southern Finland,Uusimaa,Helsinki,Helsinki,00140  Kaivopuisto - Ullanlinna (Helsinki),931841,7958,8540,42,62448,425146913,250,268,32,2869,2673
150,Southern Finland,Uusimaa,Helsinki,Helsinki,00150  Eira - Hernesaari (Helsinki),1367328,9420,6889,40,45692,379606569,375,274,25,3970,5428
160,Southern Finland,Uusimaa,Helsinki,Helsinki,00160  Katajanokka (Helsinki),541136,4832,8929,44,44623,181303861,141,261,34,6435,3482
170,Southern Finland,Uusimaa,Helsinki,Helsinki,00170  Kruununhaka (Helsinki),713343,7489,10498,41,42929,277623655,267,374,28,13519,9644
180,Southern Finland,Uusimaa,Helsinki,Helsinki,00180  Kamppi - Ruoholahti (Helsinki),1735293,14098,8124,40,34739,420829298,352,203,40,12772,22164
190,Southern Finland,Uusimaa,Helsinki,Helsinki,00190  Suomenlinna (Helsinki),765012,748,978,37,30364,16396804,116,152,6,582,445
200,Southern Finland,Uusimaa,Helsinki,Helsinki,00200  Lauttasaari (Helsinki),2619434,15904,6072,40,37708,501030910,595,227,27,865,2266
210,Southern Finland,Uusimaa,Helsinki,Helsinki,00210  Vattuniemi (Helsinki),1478221,8563,5793,42,42418,300067192,239,162,36,3483,5148
220,Southern Finland,Uusimaa,Helsinki,Helsinki,00220  Jätkäsaari (Helsinki),684781,7722,11277,33,29708,191048958,90,131,86,1944,1331
230,Southern Finland,Uusimaa,Helsinki,Helsinki,00230  Ilmala (Helsinki),171851,0,0,0,0,0,2,12,0,15537,2670
240,Southern Finland,Uusimaa,Helsinki,Helsinki,00240  Länsi-Pasila (Helsinki),2439966,5477,2245,42,27285,130858142,215,88,25,5655,13797
