Site_ID,Vendor,Longitude,Latitude,Type,Total_Sites,Swapped_Sites,Swapped_5G
2G00001,H,25.102123,60.215256,GULN,1,1,1
2G00006,H,25.049544,60.240710,GULN,1,1,1
2G00007,H,24.992884,60.242919,GULN,1,1,1
2G00008,H,24.957164,60.288190,GULN,1,1,1
2G00009,E,24.900703,60.276558,GULN,1,0,0
2G00010,H,25.010828,60.252378,GULN,1,1,1
2G00011,H,24.907978,60.297718,GULN,1,1,1
2G00012,H,25.058187,60.270485,GULN,1,1,1
2G00014,H,23.770499,61.498624,GULN,1,1,1
2G00015,H,24.841232,60.285009,GULN,1,1,1
2G00016,H,23.779658,61.507682,GULN,1,1,1
2G00017,H,23.762999,61.485957,GULN,1,1,1
2G00018,H,23.808869,61.494236,GULN,1,1,1
2G00021,H,24.872625,60.264165,GULN,1,1,1
2G00022,H,23.735091,61.497430,GULN,1,1,1
2G00023,E,23.802469,61.501462,GULN,1,0,0
2G00024,E,24.861069,60.242890,GULN,1,0,0
2G00025,H,23.845667,61.484661,GULN,1,1,1
2G00026,H,23.841948,61.455177,GULN,1,1,1
2G00027,E,23.866833,61.471700,GULN,1,0,0
2G00028,H,25.082659,60.211006,GULN,1,1,1
2G00030,H,23.861418,61.447694,GULN,1,1,1
2G00031,H,23.986261,61.472796,GULN,1,1,1
2G00032,H,24.887452,60.233558,GUL,1,1,0
2G00033,H,24.818486,60.240149,GULN,1,1,1
2G00035,E,24.823250,60.277251,GUL,1,0,0
2G00037,H,25.133156,60.212957,GULN,1,1,1
2G00038,E,24.738620,60.242440,GUL,1,0,0
2G00040,E,24.768379,60.251172,GULN,1,0,0
2G00041,H,24.763408,60.228938,GULN,1,1,1
2G00042,H,24.807718,60.228815,GULN,1,1,1
2G00043,E,24.746482,60.225049,GUL,1,0,0
2G00044,H,25.058759,60.196108,GULN,1,1,1
2G00046,H,24.727056,60.209852,GULN,1,1,1
2G00047,E,24.752349,60.209510,GULN,1,0,0
2G00048,H,25.041445,60.176049,GULN,1,1,1
2G00049,E,25.009214,60.186679,GULN,1,0,0
2G00050,E,24.712658,60.217718,GUL,1,0,0
2G00052,E,24.955429,60.215132,GULN,1,0,0
2G00053,H,24.936254,60.228694,GULN,1,1,1
2G00054,H,24.964642,60.228127,GULN,1,1,1
2G00055,E,24.696481,60.219609,GUL,1,0,0
2G00057,H,24.712541,60.199793,GULN,1,1,1
2G00058,H,24.775883,60.192230,GULN,1,1,1
2G00059,H,23.904757,61.482091,GULN,1,1,1
2G00060,H,23.754884,61.439023,GUL,1,1,0
2G00061,H,23.764513,61.475543,GULN,1,1,1
