date_year,date_month,country_iso,client_region_name,client_city_name,operator_name,device_count_all,sample_origin_all,sample_count_all,device_count_4g,sample_origin_4g,sample_count_4g,device_count_5g,sample_origin_5g,sample_count_5g,mid_dl_all,mid_ul_all,mid_dl_4g,mid_ul_4g,mid_dl_5g,mid_ul_5g,latency_all,avg_rsrp_rscp_all,avg_snr_all,latency_4g,avg_rsrp_rscp_4g,avg_snr_4g,latency_5g,avg_rsrp_rscp_5g,avg_snr_5g
2021,3,FI,Central Finland,Jyväskylä,DNA,304,676,605,292,637,566,18,27,27,41.5,11.9,41.1,11.9,364.2,29.5,29.5,-95.5,7.3,29.7,-96,7.1,20.1,-90.3,10.8
2021,3,FI,Central Finland,Jyväskylä,Elisa,715,2452,1729,630,1435,1286,100,983,413,54.2,14.9,43.2,11,280.1,49.1,23.5,-96.3,4.5,24.5,-96,4.3,18.4,-101.4,5.8
2021,3,FI,Central Finland,Jyväskylä,Telia,645,1358,1205,589,1208,1069,56,106,98,52,11.4,49.7,10.9,285.9,30,24,-94,8.1,23.3,-94.5,7.7,22.8,-93.3,17.8
2021,3,FI,Central Finland,Jämsä,DNA,60,112,95,54,101,85,0,0,0,18.1,7.2,19.9,8.5,0,0,29.6,-98.5,6.7,28.9,-99,6.7,0,0,0
2021,3,FI,Central Finland,Jämsä,Elisa,133,307,271,117,262,230,15,31,27,37.7,4.6,35.6,4.4,265.8,22.1,24.5,-102,3.1,24.3,-103.4,1.2,18.8,-95.8,11.6
2021,3,FI,Central Finland,Jämsä,Telia,150,377,326,132,223,208,12,125,99,78.7,10.2,49.7,10.2,279.4,15,23,-96,8.9,21.2,-95.8,6.7,23.1,-96.5,17
2021,3,FI,Central Finland,Keuruu,DNA,18,50,45,17,49,44,1,1,1,10.6,3.3,10.6,3.3,404.7,54.2,30.7,-103,6.3,31,-103,6.3,19,0,0
2021,3,FI,Central Finland,Keuruu,Elisa,61,139,123,59,136,120,1,1,1,20.4,9.7,21.3,9.7,187.2,15.7,30.6,-94,5.2,30.2,-94.4,5.2,24,0,0
2021,3,FI,Central Finland,Keuruu,Telia,39,96,86,36,90,80,0,0,0,27.7,8.8,35.2,9.4,0,0,21.8,-94.4,7.9,21,-94.9,7.9,0,0,0
2021,3,FI,Central Finland,Saarijärvi,DNA,20,64,56,19,50,45,0,0,0,24.1,4.7,26.3,6.6,0,0,33.7,-89.7,19.3,32.6,-91.2,19.3,0,0,0
2021,3,FI,Central Finland,Saarijärvi,Elisa,40,107,94,37,101,88,1,3,3,40.6,5.8,40,5.8,188,24.2,28.2,-102.5,7.7,28.1,-102.5,7.7,24.6,0,0
2021,3,FI,Central Finland,Saarijärvi,Telia,56,124,107,53,114,98,0,0,0,17,5.5,18.7,6.2,0,0,29.6,-95.5,9.3,29,-95.9,9.3,0,0,0
2021,3,FI,Central Finland,South Eastern Middle,DNA,24,62,51,22,52,41,0,0,0,14.7,6.7,19.1,8.8,0,0,28.5,-89.9,12.8,27,-90.2,12.8,0,0,0
2021,3,FI,Central Finland,South Eastern Middle,Elisa,53,111,102,49,103,95,1,1,1,35.8,4.5,37.8,4.6,227.3,11.8,20.9,-101,5.9,20.4,-101.8,6.1,17,0,0
2021,3,FI,Central Finland,South Eastern Middle,Telia,44,79,73,39,72,66,1,1,1,39.7,5.8,44,6.2,187.7,58.9,27.8,-99.8,5.7,27.4,-102.2,5.7,19,0,0
2021,3,FI,Central Finland,Viitasaari,DNA,24,48,32,22,44,30,0,0,0,14.2,5.2,15,5.3,0,0,31.1,-93.8,-4,30.6,-95.6,-8,0,0,0
2021,3,FI,Central Finland,Viitasaari,Elisa,43,74,71,39,64,62,1,1,1,23.9,5.3,31.1,7.1,86.3,51.3,30.4,-98.8,0.2,29.8,-99.6,0.3,19,0,0
2021,3,FI,Central Finland,Viitasaari,Telia,37,89,75,32,74,61,2,6,6,40.5,12.4,42.6,12.8,187.4,34.7,24.8,-93.7,3.8,23.1,-94.3,3.8,21,0,0
2021,3,FI,Central Finland,Äänekoski,DNA,45,144,113,44,132,104,0,0,0,12.4,3.8,19.2,4.1,0,0,36.9,-100.2,11.6,37.1,-101.5,11.6,0,0,0
2021,3,FI,Central Finland,Äänekoski,Elisa,95,323,271,91,260,217,7,38,31,50.5,8,49.5,7.5,248.3,26.2,25.3,-95.8,7.9,25.8,-97.9,6.7,18.7,-95.6,15.6
2021,3,FI,Central Finland,Äänekoski,Telia,95,178,161,91,173,156,1,1,1,36.8,11.2,39,11.7,147.8,37,26.2,-95.1,7,24.2,-95.1,7,18,0,0
2021,3,FI,Central Ostrobothnia,Kaustinen,DNA,16,49,42,14,46,40,0,0,0,16.6,9,17.6,10.3,0,0,36.3,-98.1,6.7,36.5,-100,10.1,0,0,0
2021,3,FI,Central Ostrobothnia,Kaustinen,Elisa,39,78,71,35,71,64,0,0,0,31.4,6.3,43.1,7.6,0,0,41.1,-96.5,13.3,40.6,-96.5,13.3,0,0,0
2021,3,FI,Central Ostrobothnia,Kaustinen,Telia,19,28,28,17,24,24,0,0,0,13.1,11.1,24.3,13.1,0,0,26.7,-93,4,25,-94.2,4,0,0,0
2021,3,FI,Central Ostrobothnia,Kokkola,DNA,92,201,178,86,179,159,4,11,8,29.6,8.8,30,8.8,239.2,39.8,35.3,-97.4,6.4,35.2,-98.9,4.4,26.5,-88.4,22.7
2021,3,FI,Central Ostrobothnia,Kokkola,Elisa,148,300,272,126,225,207,23,64,54,43.7,8,35.5,7.1,192,23.3,28.8,-98.5,5.8,30.1,-98.7,4.7,23.2,-98.7,9.8
2021,3,FI,Central Ostrobothnia,Kokkola,Telia,88,167,145,80,149,130,6,13,10,44,10,40.2,10,251.7,45.4,25.5,-96.3,3.9,25,-96.3,4,28.8,-119,4
2021,3,FI,Finland Proper,Loimaa,DNA,98,256,229,94,229,204,6,11,10,25.6,9.2,28.4,10.1,312.8,20.4,26.2,-96.6,6.3,26.2,-96.6,6.8,21.6,-110,0
2021,3,FI,Finland Proper,Loimaa,Elisa,113,250,224,105,224,203,3,9,6,26,5.7,26.9,6,185.5,21.4,20,-99.1,3.2,19.2,-99.4,3.7,24,0,0
2021,3,FI,Finland Proper,Loimaa,Telia,81,134,123,77,129,118,0,0,0,29.5,9.1,29.9,9.3,0,0,21.4,-95.9,4.6,21.2,-96.7,4.6,0,0,0
2021,3,FI,Finland Proper,Salo,DNA,167,403,367,160,377,342,6,13,12,19.4,7.4,19.6,7.4,208.9,27.9,26.7,-96.1,4.9,25,-96.1,5.1,25.5,-106,-11
2021,3,FI,Finland Proper,Salo,Elisa,199,522,442,183,385,343,17,119,82,38.9,6.4,29.3,5.4,345.1,10.7,19.3,-97.8,4.7,19.1,-98.1,4.7,16.6,-98.7,6.6
2021,3,FI,Finland Proper,Salo,Telia,148,274,258,141,257,242,6,7,6,35.5,8.4,36.4,8.7,139.4,19.1,21.3,-97.5,3.1,20.9,-97.5,3.7,19,-106,-21
2021,3,FI,Finland Proper,Turku,DNA,787,1868,1675,674,1410,1251,129,422,389,79,21.3,54.8,17.5,323.6,29.4,22.2,-96.8,7.3,23.5,-96.8,3.9,17.1,-97.8,14.1
2021,3,FI,Finland Proper,Turku,Elisa,1865,4195,3527,1686,3607,3024,189,432,371,40.8,10.1,37.1,9.6,220.7,30.4,21.8,-97.8,4.6,21.5,-98.1,4.3,18.5,-99.7,7.3
2021,3,FI,Finland Proper,Turku,Telia,1357,3497,2923,1249,2976,2492,130,426,351,43.4,10.7,39.5,10.3,286.2,21.5,21.1,-94.7,6.5,20.6,-94.5,6.6,20.4,-99.2,7
2021,3,FI,Finland Proper,Vakka-Suomi,DNA,90,202,175,85,194,167,0,0,0,15.6,7.3,17.5,7.8,0,0,25,-96.7,5.4,24.8,-97.2,5.4,0,0,0
2021,3,FI,Finland Proper,Vakka-Suomi,Elisa,79,160,141,75,151,133,1,1,1,28,6.8,29,6.8,148.9,34.4,20.7,-97.9,1.8,20.6,-97.9,2,16,0,0
