area_level1_name,area_level2_name,operator_name,sample_origin_4g_ios,sample_count_4g_ios,device_count_4g_ios,avg_dl_4g_ios,sample_origin_4g_ad,sample_count_4g_ad,device_count_4g_ad,avg_dl_4g_ad,sample_origin_ip12_5g,sample_count_ip12_5g,device_count_ip12_5g,avg_dl_ip12_5g,sample_origin_ip12_fb,sample_count_ip12_fb,device_count_ip12_fb,avg_dl_ip12_fb,sample_origin_ip12_lk,sample_count_ip12_lk,device_count_ip12_lk,avg_dl_ip12_lk,sample_origin_ad_5g,sample_count_ad_5g,device_count_ad_5g,avg_dl_ad_5g,sample_origin_ad_fb,sample_count_ad_fb,device_count_ad_fb,avg_dl_ad_fb,sample_origin_ad_lk,sample_count_ad_lk,device_count_ad_lk,avg_dl_ad_lk
Northern Ostrobothnia,Oulunkaari,Elisa,79,59,46,22.6,362,227,136,32.3,0,0,0,0,1,1,1,13.6,6,6,5,39.6,7,7,4,161.7,85,55,27,45.8,17,14,8,22.1
Uusimaa,Loviisa,Elisa,63,49,33,26.8,198,139,77,37,0,0,0,0,13,6,4,71.3,9,8,7,48,19,9,6,118.8,33,26,12,50.8,19,19,5,45.2
Tavastia Proper,Hämeenlinna,Elisa,927,635,316,51.6,2378,1504,681,46.2,123,90,45,184,56,41,20,84.2,100,66,34,75.6,404,216,97,229.6,309,211,93,55.8,151,120,67,49.3
Northern Ostrobothnia,Nivala-Haapajärvi,Telia,40,37,26,67.4,247,179,102,60.9,0,0,0,0,1,1,1,52.8,6,5,3,116.2,5,5,4,142.2,6,5,4,49.3,32,25,11,92.3
Kymenlaakso,Kouvola,Telia,513,373,181,43.1,1509,977,422,38.3,25,17,6,196.9,4,4,4,39.8,57,39,20,63.9,88,54,19,230,90,70,24,59.8,61,48,38,37.7
Kainuu,Kehys-Kainuu,DNA,91,66,36,36.8,152,93,58,43.5,0,0,0,0,9,8,5,67.2,28,22,6,87.8,9,3,2,225.7,20,5,3,81.7,16,11,10,47
Ostrobothnia,South Eastern Bothnia,Telia,76,60,32,38.7,250,192,81,41.3,0,0,0,0,0,0,0,0,72,47,12,54.5,0,0,0,0,4,4,2,32.7,39,28,7,52.2
Southern Ostrobothnia,Kuusiokunnat,Elisa,168,120,60,43.9,629,387,172,46.4,0,0,0,0,45,19,9,49.5,38,15,7,88.7,19,15,11,229,70,46,15,62.4,18,14,10,57.5
Lapland,Tornio Valley,Telia,34,28,15,46.4,62,51,20,66.8,0,0,0,0,0,0,0,0,4,3,2,22,0,0,0,0,0,0,0,0,1,1,1,23.7
Southern Savonia,Varkaus,Elisa,3,3,3,11.7,23,16,6,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2,12.1,1,1,1,9.7
